qa_id,qa_set,image_only_eligible,release_eligible,question,answer,answer_type,difficulty,reference_images,reference_view_metadata
handwheel_000480_s4420_v9_appendage_face_relation,proposed_image_only,true,true,"Across the four oblique views, which relationship best explains where the long handgrip sits relative to the wheel and the shorter hub extension? Choose one:
A. the long handgrip attaches at the rim along one spoke and projects from one face, while the short hub extension is centered and projects from the opposite face
B. both appendages attach at the central hub and project from the same face
C. the long handgrip is centered in the circular opening while the short hub extension attaches at the rim
D. both appendages lie flat in the wheel face and neither projects outward
E. the long handgrip attaches at the hub and the short hub extension attaches at the rim
F. the long handgrip and short hub extension project from the same face but at different distances from the center","A. the long handgrip attaches at the rim along one spoke and projects from one face, while the short hub extension is centered and projects from the opposite face",categorical,4,references/01_handwheel_000480_s4420_v9_appendage_face_relation/view_01.png;references/01_handwheel_000480_s4420_v9_appendage_face_relation/view_02.png;references/01_handwheel_000480_s4420_v9_appendage_face_relation/view_03.png;references/01_handwheel_000480_s4420_v9_appendage_face_relation/view_04.png,references/01_handwheel_000480_s4420_v9_appendage_face_relation/view_01.json;references/01_handwheel_000480_s4420_v9_appendage_face_relation/view_02.json;references/01_handwheel_000480_s4420_v9_appendage_face_relation/view_03.json;references/01_handwheel_000480_s4420_v9_appendage_face_relation/view_04.json
handwheel_000480_s4420_v9_repeat_breaker,proposed_image_only,true,true,"If the wheel were turned so each spoke takes the place of its neighbor, which visible feature would fail to return to a matching location? Choose one:
A. the central circular opening
B. the long handgrip
C. the short hub extension
D. the continuous outer rim
E. the five spoke bars as a group
F. no single feature breaks the repeated pattern",B. the long handgrip,categorical,4,references/02_handwheel_000480_s4420_v9_repeat_breaker/view_01.png;references/02_handwheel_000480_s4420_v9_repeat_breaker/view_02.png;references/02_handwheel_000480_s4420_v9_repeat_breaker/view_03.png;references/02_handwheel_000480_s4420_v9_repeat_breaker/view_04.png,references/02_handwheel_000480_s4420_v9_repeat_breaker/view_01.json;references/02_handwheel_000480_s4420_v9_repeat_breaker/view_02.json;references/02_handwheel_000480_s4420_v9_repeat_breaker/view_03.json;references/02_handwheel_000480_s4420_v9_repeat_breaker/view_04.json
handwheel_000480_s4420_v9_centered_vs_offset,proposed_image_only,true,true,"Comparing the central opening with the two cylindrical appendages, which relationship is visible in the oblique views? Choose one:
A. both appendages follow the opening's center and remain centered on it
B. the long handgrip follows the opening's center while the short hub extension is displaced toward the rim
C. the short hub extension follows the opening's center, while the long handgrip runs in the same front-to-back direction but is displaced toward the rim
D. the two appendages point in unrelated directions and neither can be compared with the opening
E. the short hub extension is offset toward the rim while the long handgrip follows the opening's center
F. both appendages are centered, but the opening is displaced toward the rim","C. the short hub extension follows the opening's center, while the long handgrip runs in the same front-to-back direction but is displaced toward the rim",categorical,4,references/03_handwheel_000480_s4420_v9_centered_vs_offset/view_01.png;references/03_handwheel_000480_s4420_v9_centered_vs_offset/view_02.png;references/03_handwheel_000480_s4420_v9_centered_vs_offset/view_03.png;references/03_handwheel_000480_s4420_v9_centered_vs_offset/view_04.png,references/03_handwheel_000480_s4420_v9_centered_vs_offset/view_01.json;references/03_handwheel_000480_s4420_v9_centered_vs_offset/view_02.json;references/03_handwheel_000480_s4420_v9_centered_vs_offset/view_03.json;references/03_handwheel_000480_s4420_v9_centered_vs_offset/view_04.json
handwheel_000480_s4420_v9_grip_spoke_registration,proposed_image_only,true,true,"In the view where the rim pattern is easiest to compare, how is the long handgrip registered to the repeated spokes? Choose one:
A. it sits halfway between two neighboring spokes
B. it is isolated at the center of an open sector
C. it touches the rim without sharing a spoke's direction
D. it continues the line of one spoke at the rim
E. it aligns with two spokes at once at the outer rim
F. it connects only to the central opening and not to the rim pattern",D. it continues the line of one spoke at the rim,categorical,4,references/04_handwheel_000480_s4420_v9_grip_spoke_registration/view_01.png;references/04_handwheel_000480_s4420_v9_grip_spoke_registration/view_02.png;references/04_handwheel_000480_s4420_v9_grip_spoke_registration/view_03.png;references/04_handwheel_000480_s4420_v9_grip_spoke_registration/view_04.png,references/04_handwheel_000480_s4420_v9_grip_spoke_registration/view_01.json;references/04_handwheel_000480_s4420_v9_grip_spoke_registration/view_02.json;references/04_handwheel_000480_s4420_v9_grip_spoke_registration/view_03.json;references/04_handwheel_000480_s4420_v9_grip_spoke_registration/view_04.json
handwheel_000480_s4420_v9_sector_boundary_pattern,proposed_image_only,true,true,"What arrangement of openings and boundaries is repeated around the wheel face? Choose one:
A. five closed pockets separated by round rods and interrupted by gaps in the rim
B. four open sectors separated by flat bars and enclosed by one continuous rim
C. one solid disk with no repeated openings or boundary bars
D. six open sectors separated by flat bars and enclosed by one continuous rim
E. five open sectors separated by flat bars and enclosed by one continuous rim
F. five open sectors separated by triangular plates with no continuous rim",E. five open sectors separated by flat bars and enclosed by one continuous rim,categorical,4,references/05_handwheel_000480_s4420_v9_sector_boundary_pattern/view_01.png;references/05_handwheel_000480_s4420_v9_sector_boundary_pattern/view_02.png;references/05_handwheel_000480_s4420_v9_sector_boundary_pattern/view_03.png;references/05_handwheel_000480_s4420_v9_sector_boundary_pattern/view_04.png,references/05_handwheel_000480_s4420_v9_sector_boundary_pattern/view_01.json;references/05_handwheel_000480_s4420_v9_sector_boundary_pattern/view_02.json;references/05_handwheel_000480_s4420_v9_sector_boundary_pattern/view_03.json;references/05_handwheel_000480_s4420_v9_sector_boundary_pattern/view_04.json
handwheel_000480_s4420_v9_opening_continuity,proposed_image_only,true,true,"When the central hub is seen from opposite ends, what can be inferred about the circular opening? Choose one:
A. it is a blind recess visible from only one end
B. it is two separate recesses that stop before meeting
C. there is no opening, the dark circle is only a surface marking
D. it is an opening whose two ends are disconnected
E. the circular feature is a shallow mark with no interior depth
F. it is one continuous opening that can be seen from both ends",F. it is one continuous opening that can be seen from both ends,categorical,4,references/06_handwheel_000480_s4420_v9_opening_continuity/view_01.png;references/06_handwheel_000480_s4420_v9_opening_continuity/view_02.png;references/06_handwheel_000480_s4420_v9_opening_continuity/view_03.png;references/06_handwheel_000480_s4420_v9_opening_continuity/view_04.png,references/06_handwheel_000480_s4420_v9_opening_continuity/view_01.json;references/06_handwheel_000480_s4420_v9_opening_continuity/view_02.json;references/06_handwheel_000480_s4420_v9_opening_continuity/view_03.json;references/06_handwheel_000480_s4420_v9_opening_continuity/view_04.json
handwheel_000480_s4420_v9_end_to_end_depth_order,proposed_image_only,true,true,"Using the two opposing end-biased views, which near-to-far order remains consistent when looking from the hub-extension end? Choose one:
A. short hub extension, wheel rim, long handgrip
B. long handgrip, wheel rim, short hub extension
C. wheel rim, short hub extension, long handgrip
D. short hub extension, long handgrip, wheel rim
E. wheel rim, long handgrip, short hub extension
F. long handgrip, short hub extension, wheel rim","A. short hub extension, wheel rim, long handgrip",categorical,4,references/07_handwheel_000480_s4420_v9_end_to_end_depth_order/view_01.png;references/07_handwheel_000480_s4420_v9_end_to_end_depth_order/view_02.png;references/07_handwheel_000480_s4420_v9_end_to_end_depth_order/view_03.png;references/07_handwheel_000480_s4420_v9_end_to_end_depth_order/view_04.png,references/07_handwheel_000480_s4420_v9_end_to_end_depth_order/view_01.json;references/07_handwheel_000480_s4420_v9_end_to_end_depth_order/view_02.json;references/07_handwheel_000480_s4420_v9_end_to_end_depth_order/view_03.json;references/07_handwheel_000480_s4420_v9_end_to_end_depth_order/view_04.json
handwheel_000480_s4420_v9_one_spoke_shift,proposed_image_only,true,true,"After a one-spoke rotational shift of the wheel, which feature would no longer coincide with its prior location? Choose one:
A. every feature would coincide, including the long handgrip
B. the repeated wheel pattern would coincide but the long handgrip would move to a different sector
C. only the short hub extension would move while the wheel stayed fixed
D. the circular opening would disappear while all exterior features stayed fixed
E. the wheel repeats but the central hub does not
F. the wheel has no repeated spoke transformation",B. the repeated wheel pattern would coincide but the long handgrip would move to a different sector,categorical,4,references/08_handwheel_000480_s4420_v9_one_spoke_shift/view_01.png;references/08_handwheel_000480_s4420_v9_one_spoke_shift/view_02.png;references/08_handwheel_000480_s4420_v9_one_spoke_shift/view_03.png;references/08_handwheel_000480_s4420_v9_one_spoke_shift/view_04.png,references/08_handwheel_000480_s4420_v9_one_spoke_shift/view_01.json;references/08_handwheel_000480_s4420_v9_one_spoke_shift/view_02.json;references/08_handwheel_000480_s4420_v9_one_spoke_shift/view_03.json;references/08_handwheel_000480_s4420_v9_one_spoke_shift/view_04.json
handwheel_000480_s4420_v9_front_back_swap,proposed_image_only,true,true,"If the solid were flipped so the front and back of the wheel traded places, which pair of appendages would exchange near and far sides? Choose one:
A. two neighboring spokes and the outer rim
B. the central opening and the outer rim
C. the long handgrip and the short hub extension
D. no features would exchange sides because the part is fully symmetric
E. the handgrip would exchange sides with a neighboring spoke
F. only the outer rim would exchange sides, both appendages would stay put",C. the long handgrip and the short hub extension,categorical,4,references/09_handwheel_000480_s4420_v9_front_back_swap/view_01.png;references/09_handwheel_000480_s4420_v9_front_back_swap/view_02.png;references/09_handwheel_000480_s4420_v9_front_back_swap/view_03.png;references/09_handwheel_000480_s4420_v9_front_back_swap/view_04.png,references/09_handwheel_000480_s4420_v9_front_back_swap/view_01.json;references/09_handwheel_000480_s4420_v9_front_back_swap/view_02.json;references/09_handwheel_000480_s4420_v9_front_back_swap/view_03.json;references/09_handwheel_000480_s4420_v9_front_back_swap/view_04.json
handwheel_000480_s4420_v9_shared_depth_direction,proposed_image_only,true,true,"Which comparison between the long handgrip and the circular opening stays consistent across all four oblique views? Choose one:
A. both are centered on the same line through the wheel
B. the opening extends front-to-back while the handgrip lies entirely in the wheel face
C. the handgrip and opening extend in perpendicular directions
D. both extend in the same front-to-back direction, but only the opening is centered and the handgrip is offset toward the rim
E. the opening and handgrip are perpendicular, but both are centered
F. the opening is offset toward the rim while the handgrip is centered","D. both extend in the same front-to-back direction, but only the opening is centered and the handgrip is offset toward the rim",categorical,4,references/10_handwheel_000480_s4420_v9_shared_depth_direction/view_01.png;references/10_handwheel_000480_s4420_v9_shared_depth_direction/view_02.png;references/10_handwheel_000480_s4420_v9_shared_depth_direction/view_03.png;references/10_handwheel_000480_s4420_v9_shared_depth_direction/view_04.png,references/10_handwheel_000480_s4420_v9_shared_depth_direction/view_01.json;references/10_handwheel_000480_s4420_v9_shared_depth_direction/view_02.json;references/10_handwheel_000480_s4420_v9_shared_depth_direction/view_03.json;references/10_handwheel_000480_s4420_v9_shared_depth_direction/view_04.json
